,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
22,589,635a845d1ab9982803029463,2022-04-27T22:00:00.000Z,Carlos096#8712,geleeroyale#3228,our developers ,True,False,False,cuidadopeligro#4788,ClaraZi#5313,freshelle#9882,4.1,89.0,False,our developers 
23,561,635a845d1ab9982803029447,2022-04-27T22:00:00.000Z,Carlos096#8712,Dr. Suga#8514,devs ,True,False,False,cuidadopeligro#4788,ClaraZi#5313,freshelle#9882,4.1,89.0,False,devs 
83,648,635a845d1ab998280302949e,2022-05-02T22:00:00.000Z,mohammad_ranjbar_z#2709,MoeShehab#3487,for their response on this 🔥 ,True,False,False,divine_comedian#5493,karmaticacid#1218,WhyldWanderer#7002,2.83,55.0,False,for their response on this 🔥 
423,594,635a845d1ab9982803029468,2022-04-27T22:00:00.000Z,Cherik#4711,geleeroyale#3228,our developers ,True,False,False,cuidadopeligro#4788,karmaticacid#1218,Cotabe#4096,1.13,21.0,False,our developers 
427,564,635a845d1ab998280302944a,2022-04-27T22:00:00.000Z,Cherik#4711,Dr. Suga#8514,devs ,True,False,False,cuidadopeligro#4788,karmaticacid#1218,Cotabe#4096,1.13,21.0,False,devs 
432,559,635a845d1ab9982803029445,2022-04-27T22:00:00.000Z,pKrepe,Dr. Suga#8514,devs ,True,False,False,cuidadopeligro#4788,hanners717#2022,freshelle#9882,1.13,21.0,False,devs 
653,588,635a845d1ab9982803029462,2022-04-27T22:00:00.000Z,mateodaza#3156,geleeroyale#3228,our developers ,True,False,True,cuidadopeligro#4788,ClaraZi#5313,WhyldWanderer#7002,0.43,13.0,False,our developers 
658,547,635a845d1ab9982803029439,2022-04-27T22:00:00.000Z,Rodricast#1415,Dr. Suga#8514,design ,True,False,False,cuidadopeligro#4788,hanners717#2022,mateodaza#3156,2.1,13.0,False,design 
659,560,635a845d1ab9982803029446,2022-04-27T22:00:00.000Z,mateodaza#3156,Dr. Suga#8514,devs ,True,False,True,cuidadopeligro#4788,ClaraZi#5313,WhyldWanderer#7002,0.43,13.0,False,devs 
667,20,635a845d1ab998280302922a,2022-04-17T22:00:00.000Z,mohammad_ranjbar_z#2709,MoeNick#1374,for make it smooth and reliable. ,True,False,False,divine_comedian#5493,karmaticacid#1218,WhyldWanderer#7002,5.33,13.0,False,for make it smooth and reliable. 
822,894,635a845d1ab9982803029594,2022-05-05T22:00:00.000Z,divine_comedian#5493,missgene#7773,for still leading the Quantifiers group and being patient with Heather for not being able to do it for the past two weeks ,False,False,True,Danibelle the Uno and Only#6791,hanners717#2022,freshelle#9882,3.67,8.0,False,for still leading the Quantifiers group and being patient with Heather for not being able to do it for the past two weeks 
831,913,635a845d1ab99828030295a7,2022-05-05T22:00:00.000Z,kristofer#1475,missgene#7773,for getting Mike started on the praise work ,False,False,True,cuidadopeligro#4788,hanners717#2022,freshelle#9882,3.67,8.0,False,for getting Mike started on the praise work 
863,979,635a845d1ab99828030295e9,2022-05-08T22:00:00.000Z,Tosin#8012,karmaticacid#1218,for writing dark and moving poetry 👀 ,False,True,False,cuidadopeligro#4788,ClaraZi#5313,WhyldWanderer#7002,5.33,8.0,False,for writing dark and moving poetry 👀 
873,591,635a845d1ab9982803029465,2022-04-27T22:00:00.000Z,mohammad_ranjbar_z#2709,geleeroyale#3228,our developers ,True,False,True,divine_comedian#5493,karmaticacid#1218,WhyldWanderer#7002,0.0,8.0,False,our developers 
900,576,635a845d1ab9982803029456,2022-04-27T22:00:00.000Z,"Griff (💜,💜)#8888",Cotabe#4096,for showing he is human and can also fail at passing the ball in the praising stage ,False,True,False,Danibelle the Uno and Only#6791,ClaraZi#5313,mateodaza#3156,3.67,8.0,False,for showing he is human and can also fail at passing the ball in the praising stage 
904,565,635a845d1ab998280302944b,2022-04-27T22:00:00.000Z,mohammad_ranjbar_z#2709,Dr. Suga#8514,devs ,True,False,True,divine_comedian#5493,karmaticacid#1218,WhyldWanderer#7002,0.0,8.0,False,devs 
907,555,635a845d1ab9982803029441,2022-04-27T22:00:00.000Z,MoeNick#1374,Dr. Suga#8514,pm ,True,False,False,divine_comedian#5493,hanners717#2022,mateodaza#3156,1.27,8.0,False,pm 
955,548,635a845d1ab998280302943a,2022-04-27T22:00:00.000Z,markop#2007,Dr. Suga#8514,design ,True,False,False,cuidadopeligro#4788,karmaticacid#1218,WhyldWanderer#7002,2.0,5.0,False,design 
1079,549,635a845d1ab998280302943b,2022-04-27T22:00:00.000Z,freshelle#9882,Dr. Suga#8514,HR ,True,False,False,cuidadopeligro#4788,Nikola Creatrix#5026,Cotabe#4096,1.33,3.0,False,HR 
1105,909,635a845d1ab99828030295a3,2022-05-05T22:00:00.000Z,Dr. Suga#8514,missgene#7773,"the known faces like and @divine_comedian, which is a pleasure again to see after a few months ",True,False,False,cuidadopeligro#4788,hanners717#2022,mateodaza#3156,2.0,3.0,False,"the known faces like and @divine_comedian, which is a pleasure again to see after a few months "
