,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
0,612,635a845d1ab9982803028ad1,2022-03-02T23:00:00.000Z,"Griff (💜,💜)#8888",Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,False,False,hanners717#2022,fuscia,ClaraZi#5313,52.8,144,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
1,595,635a845d1ab9982803028ac0,2022-03-02T23:00:00.000Z,"Griff (💜,💜)#8888",Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,False,False,hanners717#2022,fuscia,ClaraZi#5313,9.6,144,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
2,419,635a845d1ab9982803028a10,2022-03-01T23:00:00.000Z,willyfox#1178,markop#2007,for shilling Giveth at ETHDenver. ,False,True,False,hanners717#2022,cuidadopeligro#4788,Nikola Creatrix#5026,7.47,144,False,for shilling Giveth at ETHDenver. 
3,581,635a845d1ab9982803028ab2,2022-03-02T23:00:00.000Z,"Griff (💜,💜)#8888",Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,False,False,True,hanners717#2022,fuscia,ClaraZi#5313,52.33,144,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
122,598,635a845d1ab9982803028ac3,2022-03-02T23:00:00.000Z,karmaticacid#1218,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,False,True,False,Danibelle the Uno and Only#6791,divine_comedian#5493,Zeptimus#3359,18.67,55,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
134,616,635a845d1ab9982803028ad5,2022-03-02T23:00:00.000Z,karmaticacid#1218,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,False,True,False,Danibelle the Uno and Only#6791,divine_comedian#5493,Zeptimus#3359,1.87,55,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
252,58,635a845d1ab99828030288a7,2022-02-16T23:00:00.000Z,willyfox#1178,Cherik#4711,for RegenFarms Specs. ,False,False,True,hanners717#2022,cuidadopeligro#4788,Nikola Creatrix#5026,1.4,34,False,for RegenFarms Specs. 
270,605,635a845d1ab9982803028aca,2022-03-02T23:00:00.000Z,hanners717#2022,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,False,True,geleeroyale#3228,fuscia,Zeptimus#3359,1.13,34,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
271,588,635a845d1ab9982803028ab9,2022-03-02T23:00:00.000Z,hanners717#2022,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers ,True,False,True,geleeroyale#3228,fuscia,Zeptimus#3359,1.13,34,False,for wonderful check in for comms and support and comms support 😄 and for amazing EthDen talks for loads of info for upcoming EthDen article for great presence at EthDen and all over! for Meet the Makers 
392,610,635a845d1ab9982803028acf,2022-03-02T23:00:00.000Z,WhyldWanderer#7002,Dr. Suga#8514,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers ,True,True,False,Nikola Creatrix#5026,divine_comedian#5493,freshelle#9882,0.7,21,False,for wonderful check in for comms and support and comms support 😄 !praise and for amazing EthDen talks !praise for loads of info for upcoming EthDen article !praise for great presence at EthDen and all over! !praise for Meet the Makers 
