,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
731,731,stay top project list unlist handl autopilot email ,for staying on top of project listing/unlisting and handling autopilot emails ,15.67,WhyldWanderer#7002,2021-12-08T23:00:00.000Z,
734,734,juggl thing 😉 ,for juggling all the things 😉 ,8.67,ReForest,2021-11-24T23:00:00.000Z,
736,736,precis salari calcul ,for precise salary calculation ,9.0,freshelle#9882,2021-12-01T23:00:00.000Z,
737,737,awesom dev support ,for being awesome dev and support! ,4.77,mateodaza#3156,2021-11-24T23:00:00.000Z,
738,738,coordin peopl releas ,for coordinating all peoples for release ,15.67,MoeNick#1374,2021-12-08T23:00:00.000Z,
740,740,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,9.0,Ramin#4479,2021-12-08T23:00:00.000Z,
741,741,handl pan payment time gitcoin grant ,for handling PAN payments just in time for the gitcoin grants! ,15.67,"Griff (💜,💜)#8888",2021-12-08T23:00:00.000Z,
742,742,take vacat deserv rest ,for taking vacations!! You all deserve some rest! ,8.67,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
743,743,excel mate build giveth dapp readi launch ,for being excellent mates building the giveth dapp and having it ready for launch ,17.0,Ramin#4479,2021-12-08T23:00:00.000Z,
747,747,answer doubt give block github ,for answering doubts I had about the giving blocks in github! ,10.33,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
748,748,report bug ,and for reporting bugs ,6.43,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
750,750,report bug ,and for reporting bugs ,4.77,Danibelle the Uno and Only#6791,2021-12-01T23:00:00.000Z,
751,751,report bug releas ,For reporting bugs after release ,10.33,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
752,752,report bug releas ,For reporting bugs after release ,8.67,Danibelle the Uno and Only#6791,2021-12-01T23:00:00.000Z,
753,753, prais dev ,- PRAISE ALL DEVS!!! ,3.15,Ramin#4479,2021-12-08T23:00:00.000Z,
756,756,take time refresh mind 🙂 ,for taking time off and refresh their minds 🙂 ,7.67,MoeNick#1374,2021-11-17T23:00:00.000Z,
757,757,take time refresh mind 🙂 ,for taking time off and refresh their minds 🙂 ,7.67,WhyldWanderer#7002,2021-11-17T23:00:00.000Z,
758,758,find bug releas ,For finding bugs in the release! ,0.87,Danibelle the Uno and Only#6791,2021-12-01T23:00:00.000Z,
759,759,great comm call week enthusiasm welcom back giveth famili ,for a great comms call this week & for your enthusiasm in welcoming me back to the Giveth family ,8.67,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
760,760,great comm call week enthusiasm welcom back giveth famili ,for a great comms call this week & for your enthusiasm in welcoming me back to the Giveth family ,9.37,ReForest,2021-11-24T23:00:00.000Z,
764,764,take new opportun still offer lot valu giveth ,for taking new opportunities and still offering lots of value to giveth ,4.5,hannahjojo,2021-11-24T23:00:00.000Z,
766,766,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,5.67,WhyldWanderer#7002,2021-12-08T23:00:00.000Z,
767,767, prais dev ,- PRAISE ALL DEVS!!! ,4.37,geleeroyale#3228,2021-12-08T23:00:00.000Z,
768,768, prais prais great organ skill clarifi everyth commun effect ,"!praise !praise for her great organization skill, and clarify everything by communicating effectively! ",4.5,freshelle#9882,2021-11-28T23:00:00.000Z,
769,769,jump back gov commun call ,for jumping back into gov and community calls ,4.0,geleeroyale#3228,2021-11-17T23:00:00.000Z,
770,770,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,4.0,MiA,2021-12-08T23:00:00.000Z,
771,771,help wallet account user flow diagram ,for helping with Wallet/Account user flows and diagrams ,4.5,Donna.Ofi,2021-11-17T23:00:00.000Z,
772,772,great devop job 🙂 ,for great devops jobs 🙂 ,4.67,geleeroyale#3228,2021-11-24T23:00:00.000Z,
774,774,dev team appreci support us launch year ,the dev team ~ appreciate you supporting us in launching this year!!! ,2.87,geleeroyale#3228,2021-12-08T23:00:00.000Z,
775,775,excel prais ,for excellent praising ,4.67,divine_comedian#5493,2021-12-08T23:00:00.000Z,
776,776,,for being here! ,4.0,geleeroyale#3228,2021-11-24T23:00:00.000Z,
780,780, flow get much much better thank ,"--- This flow gets much much better than before, thanks. ",5.67,markop#2007,2021-12-08T23:00:00.000Z,
781,781,awesom ,for being awesome! ,3.03,geleeroyale#3228,2021-11-17T23:00:00.000Z,
782,782,awesom ,for being awesome ,3.33,geleeroyale#3228,2021-11-17T23:00:00.000Z,
784,784, prais dev ,- PRAISE ALL DEVS!!! ,1.7,mohammad_ranjbar_z#2709,2021-12-08T23:00:00.000Z,
787,787,mograt db ,for mograting the DB. ,11.33,geleeroyale#3228,2021-12-14T23:00:00.000Z,
788,788,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,2.0,Rodricast#1415,2021-12-08T23:00:00.000Z,
789,789,support commun issu discord ,for support community on all issues in discord ,11.33,WhyldWanderer#7002,2021-11-17T23:00:00.000Z,
790,790, prais dev ,- PRAISE ALL DEVS!!! ,5.33,mateodaza#3156,2021-12-08T23:00:00.000Z,
791,791,continu valuabl contribut commun schedul buddi review call ,for the continued valuable contributions to the community!! (*scheduling buddy review calls*) ,11.33,Danibelle the Uno and Only#6791,2021-12-08T23:00:00.000Z,
792,792,,who didn ,1.67,Cherik#4711,2021-12-08T23:00:00.000Z,
793,793,prompt respons dm help op knowledg ,for prompt responses in dm's and helping me to further my ops knowledge ,9.67,geleeroyale#3228,2021-12-08T23:00:00.000Z,
795,795,alway push us think execut better ,for always pushing us to think more and execute better ,11.33,MoeNick#1374,2021-11-24T23:00:00.000Z,
796,796,bold continu push forward make world better place barrier place ❤️ ,for being so BOLD and continuing to push forward to make the world a better place through all of the barriers that have been placed before you! ❤️ ,6.33,Shayan#0050,2021-12-08T23:00:00.000Z,
797,797,come comm launch plan set outreach ,for coming up with comms launch plan and setting up outreach ,9.67,WhyldWanderer#7002,2021-12-08T23:00:00.000Z,
799,799,put piec togeth amin town ,for putting the pieces together while Amin is out of town ,11.33,mohammad_ranjbar_z#2709,2021-11-24T23:00:00.000Z,
800,800,parti gamezzz ,for partying it up at a gamezzz ,9.67,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
801,801,great team ,for being great team ,4.67,mateodaza#3156,2021-12-01T23:00:00.000Z,
803,803,stream call week ,for streaming all the calls this week ,9.67,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
805,805,quick bug fix ,"for quick bug fixes, ",5.77,mateodaza#3156,2021-12-01T23:00:00.000Z,
807,807,awesom ,for being awesome ,6.33,WhyldWanderer#7002,2021-11-17T23:00:00.000Z,
808,808,excel mate build giveth dapp readi launch ,for being excellent mates building the giveth dapp and having it ready for launch ,11.33,geleeroyale#3228,2021-12-08T23:00:00.000Z,
809,809,track givecononomi donat ,for tracking GIVecononomy donations ,11.33,mohammad_ranjbar_z#2709,2021-12-08T23:00:00.000Z,
810,810,great comm call week enthusiasm welcom back giveth famili ,for a great comms call this week & for your enthusiasm in welcoming me back to the Giveth family ,6.33,karmaticacid#1218,2021-11-24T23:00:00.000Z,
815,815,report issu ,for reporting issues ,3.53,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
816,816,facilit commun call ,for facilitating community calls ,7.43,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
819,819,support call stream ,for supporting call streaming ,11.33,WhyldWanderer#7002,2021-12-08T23:00:00.000Z,
822,822,,for being here! ,3.0,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
823,823,see everyth happen give great prais ,for seeing everything that is happening and giving such great Praise!!! ,3.0,Donna.Ofi,2021-12-01T23:00:00.000Z,
824,824,reach learn multisig ,for reaching out and learning more about the multisigs ,3.0,Donna.Ofi,2021-11-17T23:00:00.000Z,
825,825,poke hole ,for poking the holes ,3.0,Donna.Ofi,2021-11-24T23:00:00.000Z,
826,826,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,3.0,Bowen,2021-12-08T23:00:00.000Z,
827,827,great team ,for being great team ,3.0,mohammad_ranjbar_z#2709,2021-12-01T23:00:00.000Z,
833,833,bubblin agua calient good soul well deserv ,"for bubblin' in that agua caliente, good for the soul and well deserved! ",1.5,karmaticacid#1218,2021-11-24T23:00:00.000Z,
834,834,take vacay ,for taking vacay. ,2.33,Rodricast#1415,2021-12-01T23:00:00.000Z,
836,836,awesom ,for being awesome ,2.1,Cherik#4711,2021-11-17T23:00:00.000Z,
842,842,awesom ,for being awesome ,3.0,Amin#2164,2021-11-17T23:00:00.000Z,
844,844,,for being here! ,0.43,Rodricast#1415,2021-11-24T23:00:00.000Z,
845,845, prais dev ,- PRAISE ALL DEVS!!! ,6.0,MoeNick#1374,2021-12-08T23:00:00.000Z,
846,846,hero ,for being a hero. ,1.33,karmaticacid#1218,2021-12-01T23:00:00.000Z,
847,847,awesom ,for being awesome ,1.33,Rodricast#1415,2021-11-17T23:00:00.000Z,
848,848,,for being here! ,2.0,paxthemax#4454,2021-11-24T23:00:00.000Z,
849,849,fix feather ,for fixing the feathers! ,7.0,geleeroyale#3228,2021-12-03T23:00:00.000Z,
851,851,donat verifi unverifi project givethio ,for donating to verified/unverified projects on givethio ,6.0,mateodaza#3156,2021-12-08T23:00:00.000Z,
852,852,around stay involv ,for being around and staying involved! ,7.0,geleeroyale#3228,2021-11-17T23:00:00.000Z,
854,854,,for being here! ,2.0,Danibelle the Uno and Only#6791,2021-11-24T23:00:00.000Z,
855,855,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,1.33,"Griff (💜,💜)#8888",2021-12-08T23:00:00.000Z,
856,856,parti gamezzz ,for partying it up at a gamezzz ,1.33,karmaticacid#1218,2021-12-01T23:00:00.000Z,
857,857,awesom ,for being awesome ,1.33,karmaticacid#1218,2021-11-17T23:00:00.000Z,
858,858,awesom ,for being awesome! ,0.43,Rodricast#1415,2021-11-17T23:00:00.000Z,
859,859,reach make sure correct vote role propos ,for reaching out and making sure to have the correct vote for his role proposal! ,6.0,Cherik#4711,2021-12-08T23:00:00.000Z,
860,860,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,1.33,mohammad_ranjbar_z#2709,2021-12-08T23:00:00.000Z,
861,861,put piec togeth amin town ,for putting the pieces together while Amin is out of town ,7.0,Cherik#4711,2021-11-24T23:00:00.000Z,
863,863,direct dev meet ,for directing dev meetings! ,6.0,MoeNick#1374,2021-11-24T23:00:00.000Z,
864,864,bubblin agua calient good soul well deserv ,"for bubblin' in that agua caliente, good for the soul and well deserved! ",1.0,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
866,866,anoth year aliv gotta celebr happi birthday ,"for another year of being alive, we gotta celebrate you!!! happy birthday again ",0.2,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
867,867,meet medellin ,for meeting up in Medellin ,3.6,mateodaza#3156,2021-11-17T23:00:00.000Z,
869,869,birthday 😉 lucki ,for his birthday ... 😉 we lucky to have you ,0.2,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
872,872,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,4.33,MoeNick#1374,2021-12-08T23:00:00.000Z,
877,877,great team ,for being great team ,2.0,Donna.Ofi,2021-12-01T23:00:00.000Z,
879,879,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,2.0,hannahjojo,2021-12-08T23:00:00.000Z,
880,880,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,2.0,freshelle#9882,2021-12-08T23:00:00.000Z,
881,881,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,2.33,markop#2007,2021-12-08T23:00:00.000Z,
882,882,awesom commun op admin ,for awesome community ops and admin ,2.0,hannahjojo,2021-11-24T23:00:00.000Z,
883,883,take real vacat ,for taking a real vacation - HOW DO YOU DO IT ,2.17,Amin#2164,2021-11-24T23:00:00.000Z,
884,884,awesom ,for being awesome ,2.0,JB87,2021-11-17T23:00:00.000Z,
886,886,dream dev team ,for being a dream dev team ,1.67,mohammad_ranjbar_z#2709,2021-11-24T23:00:00.000Z,
889,889,great team ,for being great team ,3.43,Cherik#4711,2021-12-01T23:00:00.000Z,
890,890,awesom ,for being awesome ,3.67,MoeNick#1374,2021-11-17T23:00:00.000Z,
892,892,take vacat deserv rest ,for taking vacations!! You all deserve some rest! ,1.2,Amin#2164,2021-11-24T23:00:00.000Z,
893,893,awesom understand week last week 🙏🏽 respond notif ,for being so awesome and understanding during my week off last week 🙏🏽 and for responding to my notifications! ,4.33,"Griff (💜,💜)#8888",2021-11-17T23:00:00.000Z,
895,895, prais dev ,- PRAISE ALL DEVS!!! ,2.83,Amin#2164,2021-12-08T23:00:00.000Z,
896,896,amaz dev mate ,for being amazing dev mates ,4.33,Cherik#4711,2021-11-17T23:00:00.000Z,
897,897,take vacat ,for taking vacations ,2.77,Amin#2164,2021-11-24T23:00:00.000Z,
898,898,,for being here! ,2.33,MiA,2021-11-24T23:00:00.000Z,
901,901, mohammad ranjbar z cherik amaz dev team mate ,@mohammad_ranjbar_z@Cherik for being amazing dev team mates ,2.33,mohammad_ranjbar_z#2709,2021-11-24T23:00:00.000Z,
903,903,say barranquilla ,for saying Barranquilla for me. ,1.67,mateodaza#3156,2021-12-01T23:00:00.000Z,
904,904,excel mate build giveth dapp readi launch ,for being excellent mates building the giveth dapp and having it ready for launch ,3.67,Amin#2164,2021-12-08T23:00:00.000Z,
905,905,awesom ,for being awesome ,1.67,"Griff (💜,💜)#8888",2021-11-17T23:00:00.000Z,
906,906,awesom ,for being awesome ,2.0,freshelle#9882,2021-11-17T23:00:00.000Z,
907,907,,for being here! ,2.0,freshelle#9882,2021-11-24T23:00:00.000Z,
908,908,😆😆 ,😆😆 ,0.33,MoeNick#1374,2021-12-08T23:00:00.000Z,
909,909,,for being here! ,0.67,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
911,911,😆😆 ,😆😆 ,0.33,karmaticacid#1218,2021-12-08T23:00:00.000Z,
914,914,test giveconomi ,for testing the GIVeconomy ,21.0,Zeptimus#3359,2021-12-14T23:00:00.000Z,
915,915,dedic commun experi giveth ,for being so dedicated to the community experience with Giveth ,9.1,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
916,916,awesom ,for being awesome ,1.0,hannahjojo,2021-11-17T23:00:00.000Z,
917,917,push roadmap plan ruthlessli cut scope need ,for pushing out roadmap plans and ruthlessly cutting scope as needed ,22.0,"Griff (💜,💜)#8888",2021-12-08T23:00:00.000Z,
918,918,super respons issu identifi ,for being super responsive to issues as they are identified ,21.0,Ramin#4479,2021-12-01T23:00:00.000Z,
921,921,jump back contributor io dapp ,for jumping back as a contributor on IO dApp ,8.0,BryanMutai,2021-12-12T23:00:00.000Z,
922,922, mohammad ranjbar z cherik amaz dev team mate ,@mohammad_ranjbar_z@Cherik for being amazing dev team mates ,5.0,MoeNick#1374,2021-11-24T23:00:00.000Z,
925,925,awesom ,for being awesome ,1.0,Donna.Ofi,2021-11-17T23:00:00.000Z,
926,926,improv giveth io drastic ,for improving giveth.io drastically ,21.0,Ramin#4479,2021-12-01T23:00:00.000Z,
927,927, mohammad ranjbar z cherik amaz dev team mate ,@mohammad_ranjbar_z@Cherik for being amazing dev team mates ,5.0,Amin#2164,2021-11-24T23:00:00.000Z,
930,930,take vacat deserv rest ,for taking vacations!! You all deserve some rest! ,0.3,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
933,933,take vay k ish ,for taking vay-k(ish) ,0.3,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
934,934,take vacat ,for taking vacation. ,1.2,"Griff (💜,💜)#8888",2021-12-01T23:00:00.000Z,
935,935, love guy almost finish lauren version ,.... I love you guys... We're almost finished on Laurens Version. ,8.0,mateodaza#3156,2021-12-12T23:00:00.000Z,
936,936,relax even though super hard mani thing go ,for relaxing even though it's super hard when there's so many things going on ,0.3,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
937,937,fix mani mani issu giveconomi ,for fixing many many issues in the GIVeconomy ,48.95,pKrepe,2021-12-09T23:00:00.000Z,
941,941,,for being here! ,1.0,mohammad_ranjbar_z#2709,2021-11-24T23:00:00.000Z,
942,942,keep give block implement ,for keeping up with the giving blocks implementation ,13.0,WhyldWanderer#7002,2021-11-17T23:00:00.000Z,
945,945, prais prais go semi vacat happi birthday blast ,!praise !praise for going on semi vacation and happy birthday! Have a blast! ,3.0,"Griff (💜,💜)#8888",2021-11-23T23:00:00.000Z,
948,948,facilit commun call 🙂 #nostalgia ,for facilitating the community call 🙂 #nostalgia ,1.3,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
950,950,amaz dev mate ,for being amazing dev mates ,1.0,mohammad_ranjbar_z#2709,2021-11-17T23:00:00.000Z,
953,953,take vacay still respond chat u 😅 happi birhday ,for having taking a vacay and still responds to my chats (which u shouldn't 😅 ) ! HAPPY BIRHDAY!!! ,0.3,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
954,954,make roadmap happen ,for making roadmap happen ,3.67,"Griff (💜,💜)#8888",2021-12-08T23:00:00.000Z,
955,955,awesom ,for being awesome! ,0.55,hannahjojo,2021-11-17T23:00:00.000Z,
956,956,product giveconomi comm launch plan brianstorm session ,for productive GIVeconomy comms launch plan brianstorming session ,13.0,WhyldWanderer#7002,2021-12-07T23:00:00.000Z,
958,958,help test givingblock address clarifi doubt ,for helping me testing GivingBlocks addresses and clarifying doubts!! ,8.4,WhyldWanderer#7002,2021-12-08T23:00:00.000Z,
962,962,,for being here! ,1.0,markop#2007,2021-11-24T23:00:00.000Z,
964,964,,for being here! ,1.0,Donna.Ofi,2021-11-24T23:00:00.000Z,
965,965,becom reunit costa rica comm team ,for becoming the reunited costa rica comms team! ,3.0,karmaticacid#1218,2021-12-01T23:00:00.000Z,
966,966,awesom commun op admin ,for awesome community ops and admin ,9.1,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
969,969,go part time vacat ,for going part time vacation ,0.3,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
970,970,facilit commun call ,for facilitating community call ,5.2,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
971,971,awesom ,for being awesome ,1.0,markop#2007,2021-11-17T23:00:00.000Z,
973,973,fix rip medic debt issu phewww ,fixing RIP medical debt issue phewww ,13.0,🌈 🧻chair 🌈 🧻,2021-12-01T23:00:00.000Z,
974,974,fix rip medic debt issu phewww ,fixing RIP medical debt issue phewww ,9.1,"Griff (💜,💜)#8888",2021-12-01T23:00:00.000Z,
978,978,awesom ,for being awesome ,1.0,mohammad_ranjbar_z#2709,2021-11-17T23:00:00.000Z,
979,979,get time although check thing everi 🙂 ,"for getting some time off, although they are checking things every now and then 🙂 ",0.3,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
981,981,,for being here! ,1.0,karmaticacid#1218,2021-11-24T23:00:00.000Z,
983,983,,for being here! ,3.0,MoeNick#1374,2021-11-24T23:00:00.000Z,
984,984,take part time vacat ,for taking part time vacations! ,0.3,"Griff (💜,💜)#8888",2021-11-24T23:00:00.000Z,
985,0,everyon know 😉 ,everyone know why .. 😉 ,5.8,karmaticacid#1218,2021-12-15T23:00:00.000Z,
986,1,make welcom receiv hous ,for making me so welcomed and receive me in in their houses ,50.67,"Griff (💜,💜)#8888",2022-01-06T23:00:00.000Z,
987,2,point scammer post privat key gener channel ,for pointing out the scammer that posted their private keys to the general channel ,51.0,crusher,2022-01-11T23:00:00.000Z,
989,4,moder algeneee# ,All moderators @algeneee#7773 ,16.47,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
990,5, whyldwander 💜 💜 make first round givback realiti ,"@WhyldWanderer(💜,💜) for making the first round of GIVbacks a reality ",59.67,mohammad_ranjbar_z#2709,2022-01-12T23:00:00.000Z,
991,6,moder ,for moderating! ,5.23,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
992,7,probabl mani other jump commun moder crazi time ,and probably many others for jumping into community moderation during these crazy times ,5.23,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
993,8,moder ,for moderating! ,6.8,karmaticacid#1218,2021-12-29T23:00:00.000Z,
994,9,came togeth weekli sync talk issu solut ,"came together at Weekly Sync, talked about issues and solutions. ",50.67,mateodaza#3156,2022-01-09T23:00:00.000Z,
995,10,test giveconomi make mani issu week ,for testing the GIVeconomy and making many issues this week ,60.33,karmaticacid#1218,2021-12-15T23:00:00.000Z,
996,11,take commun moder shift provid awesom support giveth user ,for taking on community moderation shifts and providing awesome support for Giveth users ,5.9,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
997,12,great coordin giv economi ,for great coordinating on giv economy ,6.5,karmaticacid#1218,2021-12-15T23:00:00.000Z,
998,13, dao great effort incred launch without major issu proud ,@DAO for their great effort and their incredible launch without any major issues. I'm proud of you all. ,8.47,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
1000,15,cat herd piec get giveconomi done time ,for cat-herding all the pieces and getting the GIVeconomy done on time! ,35.47,karmaticacid#1218,2021-12-29T23:00:00.000Z,
1003,18, whyldwander 💜 💜 other manag moder come great commun 👍🏼 usmb ,"@WhyldWanderer(💜,💜) all others for managing moderating and coming up with this great community 👍🏼 from usmb2 ",8.47,WhyldWanderer#7002,2021-12-27T23:00:00.000Z,
1005,20,commun team great brainstorm action around giveconomi launch promot ,communications team for great brainstorms & actions around GIVeconomy launch promotions ,9.3,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1006,21,giveconomi project manag bad asseri ,for GIVeconomy project management bad assery ,7.17,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1007,22,test document run test call hug love know much pour right ,for the testing documentation and running the testing calls hugs and love I know how much you are pouring in right now ,8.13,karmaticacid#1218,2021-12-16T23:00:00.000Z,
1008,23, test parti twice today great time ,", and for having me on the test party twice today. I had a great time. ",9.13,karmaticacid#1218,2021-12-16T23:00:00.000Z,
1012,27,time support launch ,for her all time support after the launch ,7.17,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
1013,28,moder algeneee# ,All moderators @algeneee#7773 ,8.13,karmaticacid#1218,2021-12-29T23:00:00.000Z,
1014,29,everywher launch giv economi maintain ,For being everywhere for launching giv economy and maintaining it ,50.8,Amin#2164,2021-12-29T23:00:00.000Z,
1015,30,put togeth piec giveconomi coordin peopl rapid effici manner ,for putting together all the pieces of the GIVeconomy and coordinating all the people in a very rapid and efficient manner ,11.27,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1016,31,coordin thing make releas happen ,For coordinating all the things for make the release happen ,54.47,karmaticacid#1218,2021-12-29T23:00:00.000Z,
1018,33,guid giveconomi test ,for guiding me in the GIVeconomy testing! ,9.13,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1019,34,strateg around commun campaign launch parti detail ,for strategizing around communications campaigns and launch party details ,7.63,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1020,35,take commun moder shift provid awesom support giveth user ,for taking on community moderation shifts and providing awesome support for Giveth users ,9.3,karmaticacid#1218,2021-12-29T23:00:00.000Z,
1021,36, dao great effort incred launch without major issu proud ,@DAO for their great effort and their incredible launch without any major issues. I'm proud of you all. ,61.0,mohammad_ranjbar_z#2709,2021-12-29T23:00:00.000Z,
1022,37, whyldwander 💜 💜 other manag moder come great commun 👍🏼 usmb ,"@WhyldWanderer(💜,💜) all others for managing moderating and coming up with this great community 👍🏼 from usmb2 ",11.97,karmaticacid#1218,2021-12-27T23:00:00.000Z,
1023,38,great manag commun skill comm giveconomi realli agil manag everyth ,for her great management and communications skills on comms and giveconomy and being really agile on managing everything ,16.3,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1024,39, whyldwander 💜 💜 make first round givback realiti ,"@WhyldWanderer(💜,💜) for making the first round of GIVbacks a reality ",52.63,WhyldWanderer#7002,2022-01-12T23:00:00.000Z,
1029,44, carlosq get extra  verifi project platform right launch rockstar ,"@CarlosQ, , for getting an extra ~800 verified projects on the platform right before launch ROCKSTARS!!!! ",51.37,Carlos096#8712,2021-12-25T23:00:00.000Z,
1032,47,solv issu record time even christma eve ,for solving issues with me in record time even on Christmas Eve ,51.8,Carlos096#8712,2021-12-24T23:00:00.000Z,
1033,48,great coordin giveconomi ,for great coordination of GIVeconomy ,11.8,karmaticacid#1218,2021-12-17T23:00:00.000Z,
1036,51,help find miss donat find fraud ,For helping to find missed donations and find frauds ,51.8,divine_comedian#5493,2022-01-12T23:00:00.000Z,
1037,52,hunt address ,for hunting down addresses! ,51.1,missgene#7773,2021-12-15T23:00:00.000Z,
1038,53,smash giveconomi faq givstream ,for smashing out the GIVeconomy FAQ and GIVstream ,25.8,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1039,54,awesom giveconomi test parti ,for the awesome givEconomy test parties! ,11.8,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1040,55,push forward givback fraud review ,for pushing forward the GIVbacks fraud review ,14.0,divine_comedian#5493,2022-01-12T23:00:00.000Z,
1042,57,amaz commun mod nice peopl waaooo ,for being an amazing community mod - so nice to all the people waaooo ,18.8,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
1043,58,interview giveconomi ,for being interviewed for GIVeconomy ,62.0,"Griff (💜,💜)#8888",2021-12-29T23:00:00.000Z,
1044,59,support launch day  someon need help also found import bug need solv instantli ,"for being SO SO SO Supportive on launch day, she was 1000% there when someone needed help, also found important bugs that needed to be solved instantly ",14.47,WhyldWanderer#7002,2021-12-29T23:00:00.000Z,
1046,61,vision draft system creat narr assembl team got us ,"for his vision and drafting the system, creating the narratives and assembling the team that got us to where we are now ",98.67,"Griff (💜,💜)#8888",2021-12-29T23:00:00.000Z,
1047,62,great mentor never stop learn new skill gain confid ,for being such a great mentor - I never stop learning new skills and gaining confidence ,98.67,"Griff (💜,💜)#8888",2021-12-29T23:00:00.000Z,
1049,64,make sure everyon get paid time ,and for making sure everyone gets paid on time ,69.0,"Griff (💜,💜)#8888",2021-12-29T23:00:00.000Z,
1050,65,pro pming ,and for pro PMing ,37.13,karmaticacid#1218,2021-12-29T23:00:00.000Z,
1052,67,heavi pressur toler launch ,"For this heavy pressure he tolerated before, during and after the launch. ",14.47,Amin#2164,2021-12-29T23:00:00.000Z,
1053,68,great launch parti ,for a great launch party! ,7.9,karmaticacid#1218,2021-12-29T23:00:00.000Z,
1054,69,mani thing make giveconomi launch parti success ,for doing many things to make the GIVeconomy launch party a success ,12.23,karmaticacid#1218,2021-12-29T23:00:00.000Z,
1055,70,amaz self motivi build super cool super valuabl dashboard ,for having amazing self motiviation and building a super cool and super valuable dashboard ,52.33,Fábio,2021-12-26T23:00:00.000Z,
1056,71,wonder job giveconomi clear reason launch name ,"for her wonderful job with the GIVeconomy, there's a clear reason the launch has your name on it! ",53.23,karmaticacid#1218,2021-12-15T23:00:00.000Z,
1058,73,buidl best dapp ever firepurpl  🌈 ,for buidling the best dApp ever <a:FirePurple:840168829605773323> 🌈 ,82.0,paxthemax#4454,2022-01-12T23:00:00.000Z,
1060,75, dao great effort incred launch without major issu proud ,@DAO for their great effort and their incredible launch without any major issues. I'm proud of you all. ,5.23,karmaticacid#1218,2021-12-29T23:00:00.000Z,
