,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
0,1478,635a845e1ab998280302a23d,2022-07-13T22:00:00.000Z,willyfox#1178,hanners717#2022,for an awesome talk at EthBarcelona and coming over to the Giveth house! ,0,635a845e1ab998280302a084,635a845e1ab998280302a0e2,Danibelle the Uno and Only#6791,ClaraZi#5313,hanners717#2022,5.83,144.0,False,for an awesome talk at EthBarcelona and coming over to the Giveth house! 
1,1131,635a845e1ab998280302a0e2,2022-07-13T22:00:00.000Z,willyfox#1178,divine_comedian#5493,for doing an amazing and enthusiastic talk about scaling DAOs at eth barcleona! ,0,635a845e1ab998280302a084,0,Danibelle the Uno and Only#6791,ClaraZi#5313,hanners717#2022,12.13,144.0,False,for doing an amazing and enthusiastic talk about scaling DAOs at eth barcleona! 
2,1073,635a845e1ab998280302a0a8,2022-07-13T22:00:00.000Z,Rodricast#1415,ClaraZi#5313,for design work for ETH BCN and awesome slide deck designs ,0,0,635a845e1ab9982803029dd1,mateodaza#3156,miguelb#5176,divine_comedian#5493,8.47,144.0,False,for design work for ETH BCN and awesome slide deck designs 
5,1199,635a845e1ab998280302a126,2022-07-13T22:00:00.000Z,Tamarandom#9361,Rodricast#1415,"for the amazing work, contribute to giveth on ETHBCN and be an amazing and beautiful team! ",0,0,635a845e1ab998280302a0ce,Nikola Creatrix#5026,ClaraZi#5313,geleeroyale#3228,49.67,144.0,False,"for the amazing work, contribute to giveth on ETHBCN and be an amazing and beautiful team! "
6,435,635a845e1ab9982803029e2a,2022-06-21T22:00:00.000Z,Mo 🤖#0356,karmaticacid#1218,for amazing work on GIVpower designs and for being very resilient ,0,635a845e1ab9982803029e1a,635a845e1ab9982803029e1a,Danibelle the Uno and Only#6791,ClaraZi#5313,divine_comedian#5493,9.43,144.0,False,for amazing work on GIVpower designs and for being very resilient 
7,1431,635a845e1ab998280302a20e,2022-07-13T22:00:00.000Z,Rodricast#1415,jessveroes,"for working with me on the Google Slide for ETH Barcelona, telling me cool tips and great design ideas ",0,0,635a845e1ab9982803029dd1,mateodaza#3156,miguelb#5176,divine_comedian#5493,9.13,144.0,False,"for working with me on the Google Slide for ETH Barcelona, telling me cool tips and great design ideas "
10,1370,635a845e1ab998280302a1d1,2022-07-13T22:00:00.000Z,willyfox#1178,Danibelle the Uno and Only#6791,for giving such a great talk and not letting a little music stop him! ,0,635a845e1ab998280302a084,0,Danibelle the Uno and Only#6791,ClaraZi#5313,hanners717#2022,10.8,144.0,False,for giving such a great talk and not letting a little music stop him! 
12,1491,635a845e1ab998280302a24a,2022-07-13T22:00:00.000Z,Rodricast#1415,Nikola Creatrix#5026,for amazing fun and playful stickers designs ,0,0,635a845e1ab9982803029dd1,mateodaza#3156,miguelb#5176,divine_comedian#5493,11.8,144.0,False,for amazing fun and playful stickers designs 
15,1213,635a845e1ab998280302a134,2022-07-13T22:00:00.000Z,willyfox#1178,karmaticacid#1218,for being an amazing giveth rep! Scaling DAOs talk was incredible & love the support between giveth & shapeshift ,0,635a845e1ab998280302a084,0,Danibelle the Uno and Only#6791,ClaraZi#5313,hanners717#2022,25.8,144.0,False,for being an amazing giveth rep! Scaling DAOs talk was incredible & love the support between giveth & shapeshift 
17,1239,635a845e1ab998280302a14e,2022-07-13T22:00:00.000Z,Rodricast#1415,karmaticacid#1218,"for making everything in giveth beautiful ❤️ banners, swag, stickers, slides - what would we do without you ",0,0,635a845e1ab9982803029dd1,mateodaza#3156,miguelb#5176,divine_comedian#5493,10.13,144.0,False,"for making everything in giveth beautiful ❤️ banners, swag, stickers, slides - what would we do without you "
18,1391,635a845e1ab998280302a1e6,2022-07-13T22:00:00.000Z,WhyldWanderer#7002,Cotabe#4096,for being at ETH BCN and making such a great team ,0,0,635a845e1ab998280302a0e0,Nikola Creatrix#5026,ClaraZi#5313,hanners717#2022,51.1,144.0,False,for being at ETH BCN and making such a great team 
22,1277,635a845e1ab998280302a174,2022-07-13T22:00:00.000Z,Cotabe#4096,hanners717#2022,for being ready at short notice to do an hour interview about Giveth in Spanish. Thanks so much for spreading our message! ,0,0,635a845e1ab998280302a0af,Nikola Creatrix#5026,miguelb#5176,geleeroyale#3228,51.37,144.0,False,for being ready at short notice to do an hour interview about Giveth in Spanish. Thanks so much for spreading our message! 
24,1361,635a845e1ab998280302a1c8,2022-07-13T22:00:00.000Z,Rodricast#1415,paxthemax#4454,for doing great work on the designs for everyithing and NICE token ,0,635a845e1ab998280302a0ea,635a845e1ab9982803029dd1,mateodaza#3156,miguelb#5176,divine_comedian#5493,7.9,144.0,False,for doing great work on the designs for everyithing and NICE token 
26,974,635a845e1ab998280302a045,2022-06-30T22:00:00.000Z,mateodaza#3156,geleeroyale#3228,for such an awesome dapp experience ,0,0,635a845e1ab9982803029fc9,Nikola Creatrix#5026,cuidadopeligro#4788,divine_comedian#5493,50.93,144.0,False,for such an awesome dapp experience 
27,1080,635a845e1ab998280302a0af,2022-07-13T22:00:00.000Z,Cotabe#4096,ClaraZi#5313,for stepping up at very short notice to do interview at ETH BCN in Spanish ,635a845e1ab998280302a174,0,0,Nikola Creatrix#5026,miguelb#5176,geleeroyale#3228,14.47,144.0,False,for stepping up at very short notice to do interview at ETH BCN in Spanish 
29,1271,635a845e1ab998280302a16e,2022-07-13T22:00:00.000Z,Cotabe#4096,Rodricast#1415,for their incredible work at the giveth booth! helping everyone to learn about Giveth and make donations! ,635a845e1ab998280302a078,0,635a845e1ab998280302a078,Nikola Creatrix#5026,miguelb#5176,geleeroyale#3228,9.83,144.0,False,for their incredible work at the giveth booth! helping everyone to learn about Giveth and make donations! 
30,678,635a845e1ab9982803029f1d,2022-06-26T22:00:00.000Z,cuidadopeligro#4788,WhyldWanderer#7002,"for organizing and coordinating accommodations, supporting people upon arrival, and doing everything you can to make sure that people feel welcome and comfortable! ",635a845e1ab9982803029f1c,0,0,toraif#4775,ClaraZi#5313,Cori#8483,52.77,144.0,False,"for organizing and coordinating accommodations, supporting people upon arrival, and doing everything you can to make sure that people feel welcome and comfortable! "
31,813,635a845e1ab9982803029fa4,2022-06-29T22:00:00.000Z,markop#2007,Melody - AFK#8503,and for finding and resolving the Notion issue promptly ,635a845e1ab9982803029fa2,635a845e1ab9982803029fa2,0,Nikola Creatrix#5026,ClaraZi#5313,geleeroyale#3228,10.97,144.0,False,and for finding and resolving the Notion issue promptly 
32,1269,635a845e1ab998280302a16c,2022-07-13T22:00:00.000Z,WhyldWanderer#7002,Rodricast#1415,for their incredible work at the giveth booth! helping everyone to learn about Giveth and make donations! ,0,635a845e1ab998280302a095,635a845e1ab998280302a0e0,Nikola Creatrix#5026,ClaraZi#5313,hanners717#2022,49.57,144.0,False,for their incredible work at the giveth booth! helping everyone to learn about Giveth and make donations! 
33,1063,635a845e1ab998280302a09e,2022-07-13T22:00:00.000Z,Dr. Suga#8514,ClaraZi#5313,for shilling Giveth and onboarding new donors at the Giveth booth at ETH BCN ,635a845e1ab998280302a184,0,0,Nikola Creatrix#5026,miguelb#5176,hanners717#2022,13.47,144.0,False,for shilling Giveth and onboarding new donors at the Giveth booth at ETH BCN 
35,1054,635a845e1ab998280302a095,2022-07-13T22:00:00.000Z,WhyldWanderer#7002,ClaraZi#5313,for shilling Giveth and onboarding new donors at the Giveth booth at ETH BCN ,635a845e1ab998280302a079,0,0,Nikola Creatrix#5026,ClaraZi#5313,hanners717#2022,20.47,144.0,False,for shilling Giveth and onboarding new donors at the Giveth booth at ETH BCN 
36,677,635a845e1ab9982803029f1c,2022-06-26T22:00:00.000Z,cuidadopeligro#4788,WhyldWanderer#7002,for holding it down at the Giveth house! You have put so much work into getting the upstairs ready for all of us to enjoy.. Thank you so much ❤️ ,0,635a845e1ab9982803029f1d,0,toraif#4775,ClaraZi#5313,Cori#8483,13.47,144.0,False,for holding it down at the Giveth house! You have put so much work into getting the upstairs ready for all of us to enjoy.. Thank you so much ❤️ 
41,369,635a845e1ab9982803029de8,2022-06-19T22:00:00.000Z,WhyldWanderer#7002,Giantkin#8403,For V2 server engagement (looks alot cleaner!) --repost someone misspelled.. ,635a845e1ab9982803029de4,635a845e1ab9982803029de4,0,Nikola Creatrix#5026,ClaraZi#5313,hanners717#2022,12.1,144.0,False,For V2 server engagement (looks alot cleaner!) --repost someone misspelled.. 
42,1386,635a845e1ab998280302a1e1,2022-07-13T22:00:00.000Z,WhyldWanderer#7002,hanners717#2022,"for setting up the Giveth booth, jumping back and forth between the Giveth house and the conference center, spending hours and hours moving stuff! ",0,635a845e1ab998280302a0d4,635a845e1ab998280302a0d4,Nikola Creatrix#5026,ClaraZi#5313,hanners717#2022,49.13,144.0,False,"for setting up the Giveth booth, jumping back and forth between the Giveth house and the conference center, spending hours and hours moving stuff! "
