USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Amin#2164,0xf23ea0b5f14afcbe532a1df273f7b233ebe41c78,3524.0407647027528,0.0,0.0,0.0,3524.0407647027528
hannahjojo,missing user address,3445.8560991134595,0.0,0.0,0.0,3445.8560991134595
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,3014.1621287968696,205.56823687752356,44.0,0.0,3219.7303656743934
"Griff (💜,💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,2960.783697420724,0.0,0.0,0.0,2960.783697420724
Ramin#4479,0x10a84b835c5df26f2a380b3e00bcc84a66cd2d34,2870.2368491047464,0.0,0.0,0.0,2870.2368491047464
MoeNick#1374,0xa4d506434445bb7303ea34a07bc38484cdc64a95,2822.09801835448,0.0,0.0,0.0,2822.09801835448
markop#2007,0x6d97d65adff6771b31671443a6b9512104312d3d,2373.948427322238,0.0,0.0,0.0,2373.948427322238
WhyldWanderer#7002,0xed8db37778804a913670d9367aaf4f043aad938b,2023.0589229078807,322.3683714670256,69.0,0.0,2345.4272943749065
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,1857.6021593937846,205.56823687752356,44.0,0.0,2063.170396271308
divine_comedian#5493,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,1683.2217010637378,149.5041722745626,32.0,0.0,1832.7258733383003
Cherik#4711,0x8f48094a12c8f99d616ae8f3305d5ec73cbaa6b6,1606.9200169493702,0.0,0.0,0.0,1606.9200169493702
mohammad_ranjbar_z#2709,0x2ea846dc38c6b6451909f1e7ff2bf613a96dc1f3,1551.003654020064,0.0,0.0,0.0,1551.003654020064
missing username,0x0b7246ef74ca7b37fdc3d15be4f0b49876622f95,0.0,0.0,0.0,1487.7,1487.7
Mo 🤖#0356,0x17c8020de84d4097b01387823f9d33ff8e62577c,1481.8245520065007,0.0,0.0,0.0,1481.8245520065007
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,1085.7434921939343,308.35235531628535,66.0,0.0,1394.0958475102198
Rodricast#1415,0xb0ddea60ae36efa8c298b46ab342309fdffd66cf,1113.497001759139,0.0,0.0,0.0,1113.497001759139
🌈 🧻chair 🌈 🧻,missing user address,1081.4044479256281,0.0,0.0,0.0,1081.4044479256281
