index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
135,6478b703223627f6cb63e11c,2023-06-01T15:19:31.327000Z,oyealmond#0,Juankbell#7458,for stepping up in Comms and leaving a beautiful footstep in the spaces she participates! also super praise for leading the Giveth Graffiti on CDMX :),144,5,,6478a23a223627f6cb63b5d6,,,False,False,False,nikola_creatrix,danibelle_the_uno_and_only,mettodo7010,1.6666666666666667,139.0
17,64789ea2223627f6cb63b384,2023-06-01T13:35:30.155000Z,oyealmond#0,markop#2007,for all her podcasts work for Giveth.,144,5,,,,,False,False,False,nikola_creatrix,danibelle_the_uno_and_only,mettodo7010,49.666666666666664,139.0
300,6481ecf261090b0608341295,2023-06-08T15:00:02.086000Z,oyealmond#0,cuidadopeligro#0,For stepping up and taking leadership in Comms it's a pleasure to see you grow in this community while making the community grow!,144,8,,6478a266223627f6cb63b608,6478a23a223627f6cb63b5d6,,False,False,False,nikola_creatrix,danibelle_the_uno_and_only,mettodo7010,0.0,136.0
124,6478b672223627f6cb63dfb2,2023-06-01T15:17:06.558000Z,oyealmond#0,nikolacreatrix#0,"for stepping up into comms leadership and being such a great lead already, asking her team for feedback to make sure she sets the best future for comms!!",144,8,,6478a23a223627f6cb63b5d6,6478a23a223627f6cb63b5d6,,False,False,False,nikola_creatrix,danibelle_the_uno_and_only,mettodo7010,0.0,136.0
22,6478a23a223627f6cb63b5d6,2023-06-01T13:50:50.340000Z,oyealmond#0,karmaticacid#0,for taking the lead of Giveth comms! working super hard to understand everyone's sentiments & capacities... and then working on putting together a decisive & informed strategy,144,8,,,,,False,False,False,nikola_creatrix,danibelle_the_uno_and_only,mettodo7010,50.666666666666664,136.0
567,648b278da498913563e5287e,2023-06-15T15:00:29.129000Z,oyealmond#0,divine_comedian#0,for managing the Ambassador program and making it such a great success,144,8,,,,,False,False,False,nikola_creatrix,danibelle_the_uno_and_only,mettodo7010,50.666666666666664,136.0
31,6478a461223627f6cb63bef7,2023-06-01T14:00:01.092000Z,thesmith#0333,karmaticacid#0,"for coordinating the FOX/xDAI regenfarm extension on the shapeshift side - working on the proposal, getting feedback, getting it up and through advice process & voting, and supporting comms around the launch!",144,34,21.0,,,,False,False,False,nikola_creatrix,suga,cuidadopeligro,66.33333333333333,123.0
23,6478a266223627f6cb63b608,2023-06-01T13:51:34.860000Z,oyealmond#0,karmaticacid#0,for leading the amazing Giveth mural creation effort in CDMX! It is SO COOL to have a full wall dedicated to Giveth! I think this is a super cool way of getting our message out there,144,21,,,,,False,False,False,nikola_creatrix,danibelle_the_uno_and_only,mettodo7010,55.0,123.0
11,64789de3223627f6cb63b258,2023-06-01T13:32:19.174000Z,karmaticacid#0,markop#2007,for being an effective PO and leading the QF implementetion efforts smooth and streamlined. I appreciate the openness to hear diverse design opinions but also providing her on design and usability suggestions.,34,144,34.0,,,,False,False,False,nikola_creatrix,suga,brichis,70.66666666666667,110.0
166,6479fdb374840b2b2858a766,2023-06-02T14:33:23.396000Z,cuidadopeligro#0,danidiabella#0,"For his dedication to being a great leader of the Reward Team, consistently bringing joy and passion to raising the Praise culture, and always looking for ways to be better together!",55,144,34.0,,,,False,False,False,suga,brichis,hanners717,77.66666666666667,110.0
