USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,3990.005902590377,256.6983333333333,235.0,314.592,4561.29623592371
"Griff (💜,💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,3915.3304667896164,169.31166666666667,155.0,0.0,4084.642133456283
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,3790.462355255316,200.98933333333332,184.0,0.0,3991.4516885886496
mohammad_ranjbar_z#2709,0x2ea846dc38c6b6451909f1e7ff2bf613a96dc1f3,3701.14152148501,0.0,0.0,0.0,3701.14152148501
WhyldWanderer#7002,0xed8db37778804a913670d9367aaf4f043aad938b,2788.1377557571745,200.98933333333332,184.0,0.0,2989.127089090508
willyfox#1178,0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,2487.504751283422,0.0,0.0,0.0,2487.504751283422
divine_comedian#5493,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,2421.7211642498855,0.0,0.0,0.0,2421.7211642498855
geleeroyale#3228,0x701d0ecb3ba780de7b2b36789aec4493a426010a,1541.0660248064316,117.97199999999998,108.0,0.0,1659.0380248064316
Ramin#4479,0x10a84b835c5df26f2a380b3e00bcc84a66cd2d34,1197.3216359250744,257.79066666666665,236.0,0.0,1455.112302591741
Carlos096#8712,0x317bbc1927be411cd05615d2ffdf8d320c6c4052,1404.7511667821982,0.0,0.0,0.0,1404.7511667821982
ReForest,missing user address,1349.971745530724,0.0,0.0,0.0,1349.971745530724
Danibelle the Uno and Only#6791,0x5d28fe1e9f895464aab52287d85ebff32b351674,772.8867370768929,237.03633333333335,217.0,314.592,1324.5150704102261
Amin#2164,0xf23ea0b5f14afcbe532a1df273f7b233ebe41c78,1219.9536039411994,0.0,0.0,0.0,1219.9536039411994
Fábio,missing user address,1199.4138356350095,0.0,0.0,0.0,1199.4138356350095
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,1061.5901797430342,113.60266666666666,104.0,0.0,1175.192846409701
MoeNick#1374,0xa4d506434445bb7303ea34a07bc38484cdc64a95,1031.3337531685881,0.0,0.0,0.0,1031.3337531685881
Donna.Ofi,missing user address,1013.0471230115592,0.0,0.0,0.0,1013.0471230115592
Rodricast#1415,0xb0ddea60ae36efa8c298b46ab342309fdffd66cf,941.2484618119593,0.0,0.0,0.0,941.2484618119593
"sem(🌸,🐝)#0161",0xf632ce27ea72dea30d30c1a9700b6b3bceaa05cf,921.392681872479,0.0,0.0,0.0,921.392681872479
markop#2007,0x6d97d65adff6771b31671443a6b9512104312d3d,885.2821195711952,0.0,0.0,0.0,885.2821195711952
paxthemax#4454,missing user address,825.5538413135284,0.0,0.0,0.0,825.5538413135284
Cherik#4711,0x8f48094a12c8f99d616ae8f3305d5ec73cbaa6b6,767.7165897167647,0.0,0.0,0.0,767.7165897167647
VitorNunes#0090,missing user address,747.2371733252846,0.0,0.0,0.0,747.2371733252846
Mo 🤖#0356,0x17c8020de84d4097b01387823f9d33ff8e62577c,686.1409183341989,0.0,0.0,0.0,686.1409183341989
Nikola Creatrix#5026,0x9924285ff2207d6e36642b6832a515a6a3aedcab,0.0,226.113,207.0,314.592,540.7049999999999
ClaraZi#5313,0xa9ccd6b0919e43fd7cfc990572e43c3cf6a17397,0.0,214.09733333333332,196.0,314.592,528.6893333333333
ahmad#7204,0x33878e070db7f70d2953fe0278cd32adf8104572,485.0282212166867,0.0,0.0,0.0,485.0282212166867
hotl.eth,missing user address,338.67482804574536,0.0,0.0,0.0,338.67482804574536
krrisis,missing user address,322.3194591594257,0.0,0.0,0.0,322.3194591594257
missing username,0x4f8f884c40c98c593e0f82ef4d93d994ce4125aa,0.0,0.0,0.0,314.592,314.592
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,101.93438394462677,204.2663333333333,187.0,0.0,306.20071727796005
Mr.Bear🐻#3459,0x6d26f4a4eb3b4c6cdb48837f0cd67298cdbe6e5f,261.2433214732432,0.0,0.0,0.0,261.2433214732432
catarina,missing user address,261.0823830340174,0.0,0.0,0.0,261.0823830340174
pKrepe,missing user address,258.48725070150175,0.0,0.0,0.0,258.48725070150175
tropicalmango#3240,0xcfd2e56ba5b450de43e9b1dfa81bfb0222d3f04e,0.0,257.79066666666665,236.0,0.0,257.79066666666665
fuscia,0xa0bafc36de86d1a64e3f2d01e052a3a2c1487e83,0.0,257.79066666666665,236.0,0.0,257.79066666666665
missgene#7773,0xbe6f56ed9e10e5f58876f7bdf1c83eedaa721fbc,241.00531274060168,0.0,0.0,0.0,241.00531274060168
crusher,missing user address,219.7815560677023,0.0,0.0,0.0,219.7815560677023
Cori#8483,0xd1da06878d2817a358498c384418417a752dfa68,0.0,211.91266666666667,194.0,0.0,211.91266666666667
monstrosity,missing user address,211.23170148383286,0.0,0.0,0.0,211.23170148383286
cuidadopeligro#4788,0x8132505baedbaa7320b8f2340f65976edc0e8fbc,0.0,204.2663333333333,187.0,0.0,204.2663333333333
