USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
griffgreen#0,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,2825.273455942904,0.0,0.0,0.0,2825.273455942904
missgene#0,0xbe6f56ed9e10e5f58876f7bdf1c83eedaa721fbc,1913.194400219599,0.0,0.0,0.0,1913.194400219599
karmaticacid#0,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,1802.4419434531974,0.0,0.0,0.0,1802.4419434531974
danidiabella#0,0x5d28fe1e9f895464aab52287d85ebff32b351674,1177.0163052429318,0.0,0.0,0.0,1177.0163052429318
oyealmond#0,0x0d22735de6d34dc2ed5efdbc2f30d7aa8e2b9f8e,1067.3496568762007,0.0,0.0,0.0,1067.3496568762007
mohammad_ranjbar_z#0,0x2ea846dc38c6b6451909f1e7ff2bf613a96dc1f3,1043.4618720834483,0.0,0.0,0.0,1043.4618720834483
parrachia#0,0x144c4e5027b69f7798b2b162d924bcae5c149f15,993.5146856986,0.0,0.0,0.0,993.5146856986
divine_comedian#0,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,856.7028273401044,0.0,0.0,0.0,856.7028273401044
snakey_jakey.,0xb9573982875b83aadc1296726e2ae77d13d9b98f,799.1549821575624,0.0,0.0,0.0,799.1549821575624
missing username,0x0b7246ef74ca7b37fdc3d15be4f0b49876622f95,0.0,0.0,0.0,791.12,791.12
markop#2007,0x6d97d65adff6771b31671443a6b9512104312d3d,789.3827065605269,0.0,0.0,0.0,789.3827065605269
aabugosh,0x33878e070db7f70d2953fe0278cd32adf8104572,787.211089761186,0.0,0.0,0.0,787.211089761186
freshelle,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,454.95371946198173,288.30823190146754,149.0,0.0,743.2619513634493
NicoBals#2154,0xd9d5d85b2682830ac58a78c279e0c177953738b4,659.085698600055,0.0,0.0,0.0,659.085698600055
